B05, Trade, 85779.350, 116, B05, S25, 1
B05, Trade, 85787.967, 136, B05, S09, 1
B05, Trade, 85795.467, 122, S13, B05, 1
B05, Trade, 85803.583, 132, S19, B05, 1
B05, Trade, 85817.783, 128, S22, B05, 1
B05, Trade, 85823.667, 130, B05, S23, 1
B05, Trade, 85829.850, 109, B05, S20, 1
B05, Trade, 85852.300, 124, S13, B05, 1
B05, Trade, 85859.750, 137, S13, B05, 1
B05, Trade, 85866.917, 138, B05, S05, 1
B05, Trade, 85870.300, 128, B05, S05, 1
B05, Trade, 85878.983, 134, B05, S18, 1
B05, Trade, 85884.150, 110, B05, S17, 1
B05, Trade, 85884.783, 115, B05, S20, 1
B05, Trade, 85899.800, 93, B05, S10, 1
B05, Trade, 85902.883, 123, S26, B05, 1
B05, Trade, 85908.867, 130, B05, S03, 1
B05, Trade, 85921.350, 117, S18, B05, 1
B05, Trade, 85933.933, 132, B05, S18, 1
B05, Trade, 85941.583, 139, B05, S25, 1
B05, Trade, 85951.483, 117, S00, B05, 1
